"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2.520622897E0	2.416735649E0	7.829765081E-1	3.436116874E-1
2.530622897E0	2.440253973E0	7.583891749E-1	3.897320330E-1
2.540622897E0	2.455067396E0	7.351763248E-1	4.323398769E-1
2.550622897E0	2.453998327E0	7.182248235E-1	4.628831446E-1
2.560622897E0	2.450638533E0	6.986771226E-1	5.019785166E-1
2.570622897E0	2.439948559E0	6.937901974E-1	5.435173512E-1
2.580622897E0	2.413528681E0	6.988298297E-1	5.780312419E-1
2.590622897E0	2.374891281E0	7.002043128E-1	6.052147150E-1
2.600622897E0	2.324036837E0	6.869179606E-1	6.349944472E-1
2.610622897E0	2.274404049E0	6.713408828E-1	6.647741199E-1
2.620622897E0	2.201405525E0	6.241515875E-1	6.947064996E-1
2.630622897E0	2.129781723E0	5.879577994E-1	7.124215961E-1
2.640622897E0	2.058157682E0	5.674937963E-1	7.315111160E-1
2.650622897E0	1.985312104E0	5.543602109E-1	7.553348541E-1
2.660622897E0	1.918422341E0	5.010622144E-1	7.779368758E-1
2.670622897E0	1.860084653E0	4.502076805E-1	7.906123400E-1
2.680622897E0	1.785864592E0	4.176791012E-1	7.974845767E-1
2.690622897E0	1.705535769E0	4.057672322E-1	8.055785298E-1
2.700622897E0	1.627803206E0	3.659082949E-1	8.171849847E-1
2.710622897E0	1.554652095E0	2.919935882E-1	8.277224302E-1
2.720622897E0	1.472948790E0	2.350303978E-1	8.284859657E-1
2.730622897E0	1.406059027E0	2.145664245E-1	8.266534209E-1
2.740622897E0	1.318399906E0	1.881465018E-1	8.249735236E-1
2.750622897E0	1.230740786E0	1.435533315E-1	8.208501935E-1
2.760622897E0	1.147815824E0	9.269879758E-2	8.156577945E-1
2.770622897E0	1.067334294E0	4.321871698E-2	8.077165484E-1
2.780622897E0	9.833403230E-1	1.435533352E-2	7.976372838E-1
2.790622897E0	9.162978530E-1	-1.221730490E-3	7.884743214E-1
2.800622897E0	8.297077417E-1	-3.375030309E-2	7.745771408E-1
2.810622897E0	7.443392873E-1	-7.483099401E-2	7.570147514E-1
2.820622897E0	6.553056836E-1	-1.157589629E-1	7.383833528E-1
2.830622897E0	5.650503635E-1	-1.409571618E-1	7.173085213E-1
2.840622897E0	4.749477208E-1	-1.527163088E-1	6.960809231E-1
2.850622897E0	4.042400718E-1	-1.597412676E-1	6.772968173E-1
2.860622897E0	3.115412891E-1	-1.751656085E-1	6.550002694E-1
2.870622897E0	2.226603776E-1	-1.797471046E-1	6.301075220E-1
2.880622897E0	1.287398487E-1	-1.768454909E-1	6.029239893E-1
2.890622897E0	3.375030309E-2	-1.618792862E-1	5.745187402E-1
2.900622897E0	-6.123924255E-2	-1.395827085E-1	5.473352671E-1
2.910622897E0	-1.586722434E-1	-1.171334088E-1	5.189300179E-1
2.920622897E0	-2.354885489E-1	-1.010981947E-1	4.915938079E-1
2.930622897E0	-3.329215646E-1	-7.620543987E-2	4.583016634E-1
2.940622897E0	-4.243986309E-1	-5.390885845E-2	4.213443100E-1
2.950622897E0	-5.073235631E-1	-3.894266114E-2	3.842342496E-1
2.960622897E0	-5.891795158E-1	-3.375030309E-2	3.448334336E-1
2.970622897E0	-6.745479703E-1	-2.855795063E-2	3.003929853E-1
2.980622897E0	-7.405213714E-1	-1.970040426E-2	2.631302178E-1
2.990622897E0	-8.260425329E-1	2.596177394E-3	2.115120888E-1
3.000622897E0	-9.077457786E-1	2.489275858E-2	1.597412676E-1
3.010622897E0	-9.860892296E-1	4.963280261E-2	1.030835137E-1
3.020622897E0	-1.065501690E0	7.315111160E-2	4.535674304E-2
3.030622897E0	-1.138805509E0	9.773843735E-2	-1.511891466E-2
3.040622897E0	-1.199892044E0	1.163698286E-1	-6.337726861E-2
3.050622897E0	-1.274570346E0	1.337794960E-1	-1.273654103E-1
3.060622897E0	-1.343140006E0	1.437060535E-1	-1.913535446E-1
3.070622897E0	-1.410640597E0	1.501201391E-1	-2.590068579E-1
3.080622897E0	-1.473101497E0	1.589776874E-1	-3.255911767E-1
3.090622897E0	-1.532050014E0	1.690569520E-1	-3.933972120E-1
3.100622897E0	-1.578628540E0	1.753183305E-1	-4.466952085E-1
3.110622897E0	-1.635133505E0	1.756237596E-1	-5.145012736E-1
3.120622897E0	-1.694082022E0	1.698205322E-1	-5.823072791E-1
3.130622897E0	-1.750587106E0	1.627955884E-1	-6.501133442E-1
3.140622897E0	-1.808313847E0	1.496619880E-1	-7.166976333E-1
3.150622897E0	-1.863597155E0	1.316414624E-1	-7.820602059E-1
3.160622897E0	-1.907884836E0	1.050688252E-1	-8.341364861E-1
3.170622897E0	-1.960724711E0	6.750060618E-2	-8.972083330E-1
3.180622897E0	-2.014786243E0	2.031126991E-2	-9.564622641E-1
3.190622897E0	-2.064113617E0	-2.458732575E-2	-1.012203693E0
3.200622897E0	-2.116953611E0	-7.788532227E-2	-1.065348983E0
3.210622897E0	-2.166128159E0	-1.336267740E-1	-1.112538338E0
3.220622897E0	-2.201863766E0	-1.785253733E-1	-1.151328325E0
3.230622897E0	-2.241111755E0	-2.356412709E-1	-1.187522054E0
3.240622897E0	-2.279290915E0	-2.864958048E-1	-1.227380991E0
3.250622897E0	-2.311361313E0	-3.423899710E-1	-1.257618785E0
3.260622897E0	-2.323884010E0	-4.043927789E-1	-1.278235555E0
3.270622897E0	-2.315637350E0	-4.714352489E-1	-1.288162112E0
3.280622897E0	-2.302350998E0	-5.068654418E-1	-1.295645237E0
3.290622897E0	-2.280665398E0	-5.372560024E-1	-1.300684810E0
3.300622897E0	-2.250427485E0	-5.824599862E-1	-1.297325015E0
3.310622897E0	-2.212706566E0	-6.423248053E-1	-1.285413146E0
3.320622897E0	-2.170098782E0	-6.887505651E-1	-1.263880134E0
